id;name;price;has_availability;availability_365;property_type
6369;Rooftop terrace room ,  ensuite bathroom;60;1;180;Private room in apartment
21853;Bright and airy room;31;1;364;Private room in apartment
23001;Apartmento Arganzuela- Madrid Rio;50;1;1;Entire apartment
24805;Gran Via Studio Madrid;92;1;72;Entire apartment
26825;Single Room whith private Bathroom;26;1;365;Private room in house
28200;Apartamento Arganzuela Planetario;85;1;365;Entire apartment
30320;Great Vacational Apartments;65;1;351;Entire apartment
30959;Beautiful loft in Madrid Center;54;1;0;Entire loft
37859;PISO, OPERA, MADRID, GRANDE;1400;1;365;Entire apartment
40718;COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA;79;1;302;Entire apartment
40916;Holiday Apartment Madrid Center;90;1;346;Entire apartment
47957;Amazing Apartment, Salamanca Distri;82;1;319;Entire condominium
59923;Habitación para féminas en el centro de Madrid;40;1;365;Private room in guest suite
62423;MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID;24;1;357;Private room in apartment
64131;Habitación Metro Lacoma;21;1;364;Private room in apartment
70059;Tu hogar en centro de Madrid.;51;1;38;Entire apartment
70316;Superbly located Monthly rental Bills Incl.;75;1;348;Entire apartment
72150;Sunny attic duplex flat with terrace next to Sol;139;1;180;Entire apartment
74352;Cozy apartment in the coolest  neighbourhood;80;1;288;Entire apartment
75609;Estudio Museo Dino;63;1;46;Entire apartment
82481;Retiro Park, Stay at cosy studio;63;1;0;Entire apartment
84719;Cool Apart. (10min Center + WIFI);46;1;37;Entire apartment
86042;Cozy attic with intimate rooftop terrace+ elevator;125;1;179;Entire apartment
89954;Amazing apt in the historic center;114;1;365;Entire loft
92920;Bedroom in Chueca Madrid;70;1;363;Private room in apartment
93100;*** MALASAÑA B&B ***;45;1;289;Private room in apartment
96807;double room, bathroom;31;1;365;Private room in apartment
100411;Ático muy luminoso;60;1;0;Entire apartment
101507;NICE FLAT IN THE CENTER OF MADRID;50;1;31;Entire apartment
102040;Nice Single Room with wifi.;19;1;89;Private room in apartment
102194;Chic apartment CHUECA totally soundproofed;96;1;226;Entire apartment
103541;CENTRAL AND COMFORT APTO. W/PARKING;70;1;313;Entire apartment
114854;NICE CENTRAL TOURISM-BUSINESS APTO;70;1;320;Entire apartment
119389;Madrid Apartment Latina;105;1;233;Entire apartment
120293;ROOM IN THE CENTER -LA LATINA- WIFI;20;1;45;Private room in apartment
120762;SHINY ROOM in DOWNTOWN / MALASAÑA!!;32;1;262;Private room in apartment
123864;LOVELY STUDIO IN OLD TOWN-A/C-WIFI;44;1;83;Entire apartment
127819;140 m2 Architect flat - Madrid center;148;1;343;Entire apartment
132428;Habitacion en Anton Martin;30;1;1;Private room in apartment
136058;Calm, affordable room in Madrid.;21;1;289;Private room in apartment
154224;NICE FLAT SANTA ANA.45m2 WIFI (A);69;1;341;Entire apartment
163429;Centrical loft in Madrid (Chamberi);65;1;1;Entire loft
167183;private house B & B. Arturo Soria (Metro);45;1;363;Private room in chalet
170750;2-bedroom attic & rooftop terrace;91;1;340;Entire apartment
171144;Penthouse in PALACIO with 2 ROOMS;120;1;1;Entire apartment
177523;★STAYCATION★ Centro - Exclusivo, Estudio Diseño;72;1;233;Entire apartment
177846;HABITACIÓN EN MALASAÑA, CON BALCÓN Y MUCHA LUZ;20;1;365;Private room in apartment
177850;PEQUEÑA HABITACIÓN EN CENTRO, EN BARRIO MALASAÑA;18;1;365;Private room in apartment
196197;Views of San Andres Baroque from a Central Madrid Apartment;55;1;269;Entire apartment
199016;Room in central top floor with 2 terraces;28;1;364;Private room in apartment
199201;Converted theatre, historic centre;75;1;364;Private room in apartment
200828;FRENTE MAR, ZONA CALAS. PISCINA.;214;1;365;Entire apartment
201033;Shiny Room in Malasaña II/Center;40;1;1;Private room in apartment
204570;Lovely 110m2 home - Best location!;80;1;150;Entire apartment
205199;Tafari Gran Via;85;1;365;Entire condominium
207275;Bedroom with views;50;1;365;Private room in apartment
209373;Attic in the Heart of Madrid-WIFI;30;1;277;Private room in apartment
209780;The Mad B&B - Cool 3BD with Wifi & AC;94;1;0;Entire apartment
211444;Private Room in a Sunny and Luxuriously Appointed Apartment;55;1;365;Private room in apartment
217674;PENTHOUSE PLAZA MAYOR ROOFTOP TERRACE XVI CENTURY;101;1;316;Entire apartment
219303;*** Malasaña B&B exterior***;19;1;364;Private room in apartment
225462;Bright silent room in the center;30;1;338;Private room in apartment
225489;Madrid City Center. Room for 1 or 2 people.;25;1;0;Private room in apartment
229664;Beautiful cozy loft madrid center;43;1;289;Entire apartment
231861;COMFORTABLE ROOM IN A GREAT AREA!!!;61;1;0;Private room in apartment
240128;CHEAP  ROOM ONLY GIRLS OR COUPLES;25;1;364;Private room in apartment
256004;CASA ARCO CUCHILLEROS-BOTIN;80;1;365;Entire apartment
260656;Quiet duplex apartment in Lavapiés;88;1;362;Entire apartment
260951;"Spectacular Loft ""A"" Ifema  Madrid";95;1;0;Entire loft
261878;GREAT STUDIO! BEST REVIEWS! CENTRAL;67;1;151;Entire loft
263748;"LOFT ""C"" modern design loft IFEMA";64;1;37;Entire loft
268275;Madrid center with balconies;79;1;104;Entire apartment
280733;Stylish apartment you will love with balconies;110;1;184;Entire serviced apartment
281224;Central & Comfy Apartment in Opera - Royal Palace;68;1;163;Entire apartment
282195;Winter Offer 40m2 Wifi. Centre O;71;1;340;Entire apartment
282196;COZY FLAT, SANTA ANA,40m2,WIFI (I);59;1;341;Entire apartment
282715;Cozy and Luxury Penthouse, GL*****Madrid;175;1;337;Entire apartment
283862;CENTER HISTORICAL, SOL, DUPLEX;106;1;0;Entire apartment
287660;Beatiful downtown room with balcony;30;1;0;Private room in apartment
289555;Casa Museo del Prado-Private room.;26;1;308;Private room in apartment
294520;Centro de Madrid Gran Habitación;50;1;0;Private room in apartment
294529;Centro de Madrid. Room 3;37;1;365;Private room in apartment
297017;Charming Prado Luxury;89;1;344;Entire apartment
310333;Central, cute & Art Apartment;61;1;333;Entire apartment
310678;Precioso apartamento en Gran Via;68;1;263;Entire apartment
315682;QUIET and SPACIOUS .Heart of Malasaña.Madrid.;172;1;0;Entire house
316711;OPERA, PALACIO REAL, CENTRO, SOL;200;1;159;Private room in condominium
333974;Winter froml 34€per.Centric.Wifi E;59;1;341;Entire apartment
336672;Great apartment ∞4 rooms∞ close to City Center;106;1;90;Entire apartment
336834;2 bedroom apartament in Chueca-Fuen;65;1;1;Entire apartment
336869;Direct to Plaza Mayor!;87;1;0;Private room in apartment
337292;Principe de Vergara. Homey Room;35;1;0;Private room in apartment
339144;COZY APARTMENT MADRID MALASAÑA;64;1;258;Entire apartment
339171;PRADO MUSEUM AIR & OnSiteParking (*);82;1;304;Entire apartment
339813;Room in Madrid Center good ambient;80;1;364;Entire apartment
341939;Self-catering Apartment in Madrid;55;1;289;Entire apartment
342095;Lovely apartment CENTRAL MADRID !;79;1;363;Entire apartment
342557;Berlin's Park at your window. Parking included.;70;1;343;Private room in apartment
342952;Special price 29€ per.Center.Wifi U;59;1;340;Entire apartment
345195;DUPLO Heart of Madrid/Malasaña;89;1;0;Entire apartment
345230;GOYA apartment.Heart of Madrid;77;1;89;Private room in apartment
345233;MIRO apartment.Heart of Madrid;77;1;89;Private room in apartment
345249;CASTELLANA CASTELLANA DELUXE FINANCIAL DISTRICT;166;1;325;Entire apartment
347510;Classy Central Family Alcalá Deluxe;223;1;356;Entire apartment
354838;Entire apartment Plaza de España!;70;1;0;Entire apartment
361053;Cozy, luminous  excellenty placed;100;1;149;Entire apartment
363476;PUERTA DEL SOL-QUIET DOWNTOWN;44;1;358;Private room in apartment
371532;Fantastic Location. Great apartment, Opera;80;1;180;Entire apartment
375472;Host family in the center of Madrid;19;1;16;Private room in bed and breakfast
376379;Great Studio for Rent in Madrid;42;1;258;Entire loft
377151;private house in elegant neiborhood;30;1;0;Private room in townhouse
391795;Quiet room in a terraced house;35;1;365;Private room in house
396532;Apart. 25mts from Gran Via,exterior;88;1;48;Entire apartment
406341;Quiet downtown Madrid, nearby all;25;1;296;Private room in apartment
406697;Lovely & Cozy Apartment Center;56;1;0;Entire apartment
410699;80m2 spacious bright loft apartment;140;1;193;Entire loft
415967;LAVAPIES CLASSY (CENTER TOWN);58;1;150;Entire apartment
416705;Quiet room in a two level house;30;1;351;Private room in house
420039;Bonito estudio en pleno centro;57;1;244;Entire apartment
423655;Tribunal Apartment;100;1;269;Entire apartment
424816;Habitación privada en apartamento..;30;1;363;Private room in apartment
427407;study sol-atocha I;65;1;323;Entire apartment
429306;Vintage and Scandi Chic at an Historic Central Madrid Home;103;1;264;Entire condominium
429604;sol-atocha II study;65;1;306;Entire apartment
431806;CHARMING SUITE IN MADRID'S LEDGE;30;1;322;Private room in apartment
435010;Cute penthouse room in Madrid!!!;25;1;351;Private room in apartment
439715;Chueca Secret Apartment;100;1;365;Entire apartment
440596;Quiet Central Apartment with WiFi;30;1;0;Entire apartment
442986;madrid center chueca house wiffi;96;1;363;Entire apartment
444113;Pretty room;25;1;365;Private room in apartment
449218;Central, fully equipped, best price;49;1;197;Entire apartment
456165;Nice room in Madrid;30;1;0;Private room in guest suite
460898;Wide and nice apartment in Madrid;15;1;362;Private room in apartment
462072;Spectacular Penthouse 95 m² Latina;121;1;196;Entire apartment
464307;LOVELY SUNNY, DOWNTOWN, 2 BR APT.;85;1;104;Entire apartment
467552;DESIGN PENTHOUSE ALONSO MARTINEZ!;72;1;158;Entire apartment
468202;BEST STUDIO IN VERY CENTER MADRID FIBRE OPTIC WIFI;25;1;316;Entire apartment
470132;❤Quiet & Comfortable apartment **Superhost**;77;1;0;Entire apartment
473112;LUXURY DUPLEX CENTER A/A-WIFI;74;1;152;Entire apartment
479718;Wanda Stadium. Madrid. 20 minutes from Sol by tube;76;1;363;Private room in apartment
490610;Bed&Breakfast, 2 bedrooms for 3, at Latina;38;1;0;Private room in apartment
491070;NICE APT IN THE HEART OF MADRID !!!;70;1;364;Entire apartment
492221;CENTRICO EN EL BARRIO DE LA LATINA;69;1;227;Entire apartment
