name,latitude,longitude
Rooftop terrace room -  ensuite bathroom,40.45724,-3.67688
Bright and airy room,40.40381,-3.7413
Apartmento Arganzuela- Madrid Rio,40.3884,-3.69511
Gran Via Studio Madrid,40.42183,-3.70529
Single Room whith private Bathroom,40.38975,-3.69018
Apartamento Arganzuela Planetario,40.3886,-3.69492
Great Vacational Apartments,40.41476,-3.70418
Beautiful loft in Madrid Center,40.41259,-3.70105
PISO- OPERA- MADRID- GRANDE,40.41844,-3.71073
COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA,40.41969,-3.69736
Holiday Apartment Madrid Center,40.42247,-3.70577
Amazing Apartment- Salamanca Distri,40.42792,-3.67682
Habitación para féminas en el centro de Madrid,40.42103,-3.71038
MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID,40.41884,-3.69655
Habitación Metro Lacoma,40.48543,-3.72318
Tu hogar en centro de Madrid.,40.42381,-3.71038
Superbly located Monthly rental Bills Incl.,40.42191,-3.71038
Sunny attic duplex flat with terrace next to Sol,40.4115,-3.70449
Cozy apartment in the coolest  neighbourhood,40.40864,-3.70884
Estudio Museo Dino,40.40892,-3.69697
Retiro Park- Stay at cosy studio,40.42342,-3.68123
Cool Apart. (10min Center + WIFI),40.40866,-3.70374
Cozy attic with intimate rooftop terrace+ elevator,40.40939,-3.69812
Amazing apt in the historic center,40.41358,-3.71353
Bedroom in Chueca Madrid,40.42491,-3.69552
*** MALASAÑA B&B ***,40.42378,-3.70248
double room- bathroom,40.38159,-3.65534
Ático muy luminoso,40.50044,-3.67032
NICE FLAT IN THE CENTER OF MADRID,40.40786,-3.70223
Nice Single Room with wifi.,40.43422,-3.64196
Chic apartment CHUECA totally soundproofed,40.42318,-3.69748
CENTRAL AND COMFORT APTO. W/PARKING,40.43815,-3.69764
NICE CENTRAL TOURISM-BUSINESS APTO,40.4382,-3.69389
Madrid Apartment Latina,40.40919,-3.70908
ROOM IN THE CENTER -LA LATINA- WIFI,40.41143,-3.70912
SHINY ROOM in DOWNTOWN / MALASAÑA!!,40.42231,-3.70482
LOVELY STUDIO IN OLD TOWN-A/C-WIFI,40.41001,-3.70704
140 m2 Architect flat - Madrid center,40.4141,-3.70289
Habitacion en Anton Martin,40.41012,-3.69709
Calm- affordable room in Madrid.,40.35761,-3.69723
NICE FLAT SANTA ANA.45m2 WIFI (A),40.41392,-3.70049
Centrical loft in Madrid (Chamberi),40.43765,-3.70408
private house B & B. Arturo Soria (Metro),40.45575,-3.64912
2-bedroom attic & rooftop terrace,40.42386,-3.70489
Penthouse in PALACIO with 2 ROOMS,40.41678,-3.71156
?STAYCATION? Centro - Exclusivo- Estudio Diseño,40.42876,-3.70379
HABITACIÓN EN MALASAÑA- CON BALCÓN Y MUCHA LUZ,40.42399,-3.70389
PEQUEÑA HABITACIÓN EN CENTRO- EN BARRIO MALASAÑA,40.42609,-3.70551
Views of San Andres Baroque from a Central Madrid Apartment,40.41235,-3.70967
Room in central top floor with 2 terraces,40.4257,-3.70383
Converted theatre- historic centre,40.41319,-3.7024
FRENTE MAR- ZONA CALAS. PISCINA.,40.43201,-3.68358
Shiny Room in Malasaña II/Center,40.4221,-3.70685
Lovely 110m2 home - Best location!,40.4152,-3.69668
Tafari Gran Via,40.42116,-3.70384
Bedroom with views,40.42829,-3.72119
Attic in the Heart of Madrid-WIFI,40.41126,-3.70347
The Mad B&B - Cool 3BD with Wifi & AC,40.37935,-3.73162
Private Room in a Sunny and Luxuriously Appointed Apartment,40.45959,-3.64699
PENTHOUSE PLAZA MAYOR ROOFTOP TERRACE XVI CENTURY,40.41538,-3.70741
*** Malasaña B&B exterior***,40.42377,-3.70241
Bright silent room in the center,40.41366,-3.69788
Madrid City Center. Room for 1 or 2 people.,40.43595,-3.70706
Beautiful cozy loft madrid center,40.4078,-3.70085
COMFORTABLE ROOM IN A GREAT AREA!!!,40.43699,-3.70037
CHEAP  ROOM ONLY GIRLS OR COUPLES,40.3924,-3.72344
CASA ARCO CUCHILLEROS-BOTIN,40.41428,-3.70767
Quiet duplex apartment in Lavapiés,40.40743,-3.70114
"Spectacular Loft ""A"" Ifema  Madrid",40.47189,-3.62966
GREAT STUDIO! BEST REVIEWS! CENTRAL,40.42269,-3.70378
"LOFT ""C"" modern design loft IFEMA",40.47142,-3.62881
Madrid center with balconies,40.41194,-3.70339
Stylish apartment you will love with balconies,40.42457,-3.70802
Central & Comfy Apartment in Opera - Royal Palace,40.41685,-3.70882
Winter Offer 40m2 Wifi. Centre O,40.41391,-3.7005
COZY FLAT- SANTA ANA-40m2-WIFI (I),40.41392,-3.70049
Cozy and Luxury Penthouse- GL*****Madrid,40.42432,-3.68329
CENTER HISTORICAL- SOL- DUPLEX,40.41681,-3.70747
Beatiful downtown room with balcony,40.42683,-3.71108
Casa Museo del Prado-Private room.,40.41758,-3.69631
Centro de Madrid Gran Habitación,40.42226,-3.69959
Centro de Madrid. Room 3,40.42226,-3.69959
Charming Prado Luxury,40.41414,-3.69419
Central- cute & Art Apartment,40.40908,-3.69514
Precioso apartamento en Gran Via,40.42163,-3.70785
QUIET and SPACIOUS .Heart of Malasaña.Madrid.,40.42365,-3.70379
OPERA- PALACIO REAL- CENTRO- SOL,40.41822,-3.70845
Winter froml 34€per.Centric.Wifi E,40.41392,-3.70049
Great apartment ?4 rooms? close to City Center,40.39516,-3.69309
2 bedroom apartament in Chueca-Fuen,40.42242,-3.69562
Direct to Plaza Mayor!,40.41593,-3.70602
Principe de Vergara. Homey Room,40.44663,-3.67625
COZY APARTMENT MADRID MALASAÑA,40.42838,-3.70345
PRADO MUSEUM AIR & OnSiteParking (*),40.41285,-3.69553
Room in Madrid Center good ambient,40.41204,-3.6975
Self-catering Apartment in Madrid,40.41037,-3.70018
Lovely apartment CENTRAL MADRID !,40.41015,-3.69797
Berlin's Park at your window. Parking included.,40.45005,-3.67569
Special price 29€ per.Center.Wifi U,40.41392,-3.70049
DUPLO Heart of Madrid/Malasaña,40.42365,-3.70536
GOYA apartment.Heart of Madrid,40.42531,-3.70597
MIRO apartment.Heart of Madrid,40.42504,-3.7040
CASTELLANA CASTELLANA DELUXE FINANCIAL DISTRICT,40.47148,-3.68946
Classy Central Family Alcalá Deluxe,40.42881,-3.66605
Entire apartment Plaza de España!,40.4249,-3.7097
Cozy- luminous  excellenty placed,40.40988,-3.67503
PUERTA DEL SOL-QUIET DOWNTOWN,40.41676,-3.70682
Fantastic Location. Great apartment- Opera,40.41944,-3.70945
Host family in the center of Madrid,40.40334,-3.70254
Great Studio for Rent in Madrid,40.41115,-3.69673
private house in elegant neiborhood,40.42163,-3.66249
Quiet room in a terraced house,40.37733,-3.67441
Apart. 25mts from Gran Via-exterior,40.41959,-3.70373
Quiet downtown Madrid- nearby all,40.42978,-3.67817
Lovely & Cozy Apartment Center,40.41401,-3.70004
80m2 spacious bright loft apartment,40.41737,-3.70015
LAVAPIES CLASSY (CENTER TOWN),40.40827,-3.70049
Quiet room in a two level house,40.3790,-3.67423
