id;name;host_id;host_since;host_response_time;host_acceptance_rate;host_is_superhost;host_listings_count;host_identity_verified
6369;Rooftop terrace room ,  ensuite bathroom;13660;16/04/2009;within an hour;75;1;1;1
21853;Bright and airy room;83531;21/02/2010;Sin definir;0;0;2;1
23001;Apartmento Arganzuela- Madrid Rio;82175;17/02/2010;within an hour;0;0;10;1
24805;Gran Via Studio Madrid;346366726;15/05/2020;Sin definir;0;0;1;0
26825;Single Room whith private Bathroom;114340;27/04/2010;Sin definir;0;0;1;1
28200;Apartamento Arganzuela Planetario;82175;17/02/2010;within an hour;0;0;10;1
30320;Great Vacational Apartments;130907;24/05/2010;Sin definir;0;0;3;0
30959;Beautiful loft in Madrid Center;132883;26/05/2010;Sin definir;0;0;1;0
37859;PISO, OPERA, MADRID, GRANDE;162701;10/07/2010;within an hour;97;1;1;1
40718;COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA;34217435;25/05/2015;within an hour;97;1;16;1
40916;Holiday Apartment Madrid Center;130907;24/05/2010;Sin definir;0;0;3;0
47957;Amazing Apartment, Salamanca Distri;218515;31/08/2010;a few days or more;0;0;1;1
59923;Habitación para féminas en el centro de Madrid;288380;01/12/1999;Sin definir;0;0;-99;0
62423;MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID;303845;29/11/2010;within an hour;100;0;2;1
64131;Habitación Metro Lacoma;313365;08/12/2010;within an hour;80;1;3;1
70059;Tu hogar en centro de Madrid.;353616;19/01/2011;within a few hours;100;1;3;1
70316;Superbly located Monthly rental Bills Incl.;353738;19/01/2011;within an hour;100;1;6;1
72150;Sunny attic duplex flat with terrace next to Sol;364585;27/01/2011;within a day;77;0;4;1
74352;Cozy apartment in the coolest  neighbourhood;391014;14/02/2011;within an hour;0;0;1;1
75609;Estudio Museo Dino;401552;20/02/2011;within an hour;100;0;2;0
82481;Retiro Park, Stay at cosy studio;448981;18/03/2011;Sin definir;0;0;1;1
84719;Cool Apart. (10min Center + WIFI);259229;11/10/2010;within a few hours;0;0;1;1
86042;Cozy attic with intimate rooftop terrace+ elevator;364585;27/01/2011;within a day;77;0;4;1
89954;Amazing apt in the historic center;487095;05/04/2011;within a few hours;0;1;1;1
92920;Bedroom in Chueca Madrid;495849;09/04/2011;Sin definir;0;1;1;1
93100;*** MALASAÑA B&B ***;499977;11/04/2011;within an hour;100;1;4;1
96807;double room, bathroom;513331;16/04/2011;Sin definir;0;0;7;0
100411;Ático muy luminoso;527760;22/04/2011;Sin definir;0;0;1;1
