id;name;number_of_reviews;last_review;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;reviews_per_month
6369;Rooftop terrace room ,  ensuite bathroom;78;20/09/2020;98;10;10;10;10;10;10;0;58
21853;Bright and airy room;33;15/07/2018;92;9;9;10;10;8;9;0;42
23001;Apartmento Arganzuela- Madrid Rio;0;01/12/1999;0;0;0;0;0;0;0;0;0
24805;Gran Via Studio Madrid;10;01/03/2020;98;9;10;10;10;10;10;1;13
26825;Single Room whith private Bathroom;149;12/03/2020;94;10;10;10;9;9;9;0;112
28200;Apartamento Arganzuela Planetario;3;28/05/2012;80;9;9;10;10;8;9;0;3
30320;Great Vacational Apartments;170;04/01/2020;93;10;10;10;10;10;10;0;129
30959;Beautiful loft in Madrid Center;8;30/05/2017;88;8;9;9;9;10;9;0;11
37859;PISO, OPERA, MADRID, GRANDE;0;01/12/1999;0;0;0;0;0;0;0;0;0
40718;COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA;118;23/07/2019;93;9;9;9;10;10;9;1;91
40916;Holiday Apartment Madrid Center;48;05/01/2020;93;9;10;10;10;10;9;1;38
47957;Amazing Apartment, Salamanca Distri;55;10/07/2018;97;10;10;10;10;10;10;0;44
59923;Habitación para féminas en el centro de Madrid;17;05/10/2019;99;10;10;10;10;10;10;0;15
62423;MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID;79;06/09/2020;91;10;9;10;10;10;9;1;221
64131;Habitación Metro Lacoma;35;30/11/2020;95;10;9;10;10;9;9;0;46
70059;Tu hogar en centro de Madrid.;41;26/08/2020;97;10;10;10;10;10;9;0;33
70316;Superbly located Monthly rental Bills Incl.;7;30/04/2020;80;8;8;9;8;9;9;1;1
72150;Sunny attic duplex flat with terrace next to Sol;108;31/07/2020;91;9;9;10;10;10;9;0;87
74352;Cozy apartment in the coolest  neighbourhood;5;04/08/2019;92;9;9;10;10;10;9;0;11
75609;Estudio Museo Dino;56;04/03/2020;95;10;10;10;10;10;9;0;51
82481;Retiro Park, Stay at cosy studio;108;29/11/2017;96;9;10;10;10;10;9;0;89
84719;Cool Apart. (10min Center + WIFI);185;09/03/2020;93;10;10;10;10;9;9;0;153
86042;Cozy attic with intimate rooftop terrace+ elevator;153;05/03/2020;96;10;9;10;10;10;9;0;128
89954;Amazing apt in the historic center;209;11/03/2020;96;10;9;10;10;10;9;1;175
92920;Bedroom in Chueca Madrid;92;01/12/2019;99;10;10;10;10;10;10;0;76
93100;*** MALASAÑA B&B ***;643;17/03/2020;89;10;9;10;10;10;9;1;531
96807;double room, bathroom;77;07/07/2019;91;9;9;9;9;8;9;0;64
100411;Ático muy luminoso;3;24/06/2016;93;10;9;10;9;9;9;0;5
101507;NICE FLAT IN THE CENTER OF MADRID;62;28/02/2021;95;10;10;10;10;10;9;0;68
102040;Nice Single Room with wifi.;0;01/12/1999;0;0;0;0;0;0;0;0;0
102194;Chic apartment CHUECA totally soundproofed;23;01/03/2020;94;10;9;10;10;10;9;0;19
103541;CENTRAL AND COMFORT APTO. W/PARKING;187;11/04/2021;91;9;9;10;10;10;9;1;157
